category,question,answer
allgemein,Was ist die Energiekostenpauschale?,"Aenean commodo ligula eget dolor. Aenean massa. Cum sociis nato q ue penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec q uam felis, ultricies nec, pellentes q ue eu, pretium q uis, sem. Nulla conse q uat massa q uis enim. Donec pede justo, fringilla vel, ali q uet nec, vulputate eget, arcu. In enim justo, rhoncus ut"
allgemein,"Wer kann einreichen? (hier auch Info zu: Ich habe in 2022 gegründet, kann ich einreichen?)","Aenean commodo ligula eget dolor. Aenean massa. Cum sociis nato q ue penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec q uam felis, ultricies nec, pellentes q ue eu, pretium q uis, sem. Nulla conse q uat massa q uis enim. Donec pede justo, fringilla vel, ali q uet nec, vulputate eget, arcu. In enim justo, rhoncus ut"
allgemein,Wer ist nicht antragsberechtigt?,"Aenean commodo ligula eget dolor. Aenean massa. Cum sociis nato q ue penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec q uam felis, ultricies nec, pellentes q ue eu, pretium q uis, sem. Nulla conse q uat massa q uis enim. Donec pede justo, fringilla vel, ali q uet nec, vulputate eget, arcu. In enim justo, rhoncus ut"
allgemein,Wie hoch ist die Förderung?,"Aenean commodo ligula eget dolor. Aenean massa. Cum sociis nato q ue penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec q uam felis, ultricies nec, pellentes q ue eu, pretium q uis, sem. Nulla conse q uat massa q uis enim. Donec pede justo, fringilla vel, ali q uet nec, vulputate eget, arcu. In enim justo, rhoncus ut"
antragstellung,Wo beantrage ich die Förderung? *,"Aenean commodo ligula eget dolor. Aenean massa. Cum sociis nato q ue penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec q uam felis, ultricies nec, pellentes q ue eu, pretium q uis, sem. Nulla conse q uat massa q uis enim. Donec pede justo, fringilla vel, ali q uet nec, vulputate eget, arcu. In enim justo, rhoncus ut"
antragstellung,Was brauche ich dafür? *,"Aenean commodo ligula eget dolor. Aenean massa. Cum sociis nato q ue penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec q uam felis, ultricies nec, pellentes q ue eu, pretium q uis, sem. Nulla conse q uat massa q uis enim. Donec pede justo, fringilla vel, ali q uet nec, vulputate eget, arcu. In enim justo, rhoncus ut"
antragstellung,Was ist das USP? *,"Aenean commodo ligula eget dolor. Aenean massa. Cum sociis nato q ue penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec q uam felis, ultricies nec, pellentes q ue eu, pretium q uis, sem. Nulla conse q uat massa q uis enim. Donec pede justo, fringilla vel, ali q uet nec, vulputate eget, arcu. In enim justo, rhoncus ut"
antragstellung,(Warum muss ich über das USP einreichen?),"Aenean commodo ligula eget dolor. Aenean massa. Cum sociis nato q ue penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec q uam felis, ultricies nec, pellentes q ue eu, pretium q uis, sem. Nulla conse q uat massa q uis enim. Donec pede justo, fringilla vel, ali q uet nec, vulputate eget, arcu. In enim justo, rhoncus ut"
antragstellung,Ich habe noch keinen USP-Zugang – was tun,"Aenean commodo ligula eget dolor. Aenean massa. Cum sociis nato q ue penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec q uam felis, ultricies nec, pellentes q ue eu, pretium q uis, sem. Nulla conse q uat massa q uis enim. Donec pede justo, fringilla vel, ali q uet nec, vulputate eget, arcu. In enim justo, rhoncus ut"
aenderungen,Ich habe bei meinem Antrag etwas Falsches eingetragen. Was tun? ,"Aenean commodo ligula eget dolor. Aenean massa. Cum sociis nato q ue penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec q uam felis, ultricies nec, pellentes q ue eu, pretium q uis, sem. Nulla conse q uat massa q uis enim. Donec pede justo, fringilla vel, ali q uet nec, vulputate eget, arcu. In enim justo, rhoncus ut"
aenderungen,Meine Bankdaten haben sich zwischenzeitlich geändert. Was tun?,"Aenean commodo ligula eget dolor. Aenean massa. Cum sociis nato q ue penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec q uam felis, ultricies nec, pellentes q ue eu, pretium q uis, sem. Nulla conse q uat massa q uis enim. Donec pede justo, fringilla vel, ali q uet nec, vulputate eget, arcu. In enim justo, rhoncus ut"
auszahlung,Muss die Energiekostenpauschale versteuert werden? *,"Aenean commodo ligula eget dolor. Aenean massa. Cum sociis nato q ue penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec q uam felis, ultricies nec, pellentes q ue eu, pretium q uis, sem. Nulla conse q uat massa q uis enim. Donec pede justo, fringilla vel, ali q uet nec, vulputate eget, arcu. In enim justo, rhoncus ut"
auszahlung,Erfolgt eine Prüfung auch nach der Auszahlung?,"Aenean commodo ligula eget dolor. Aenean massa. Cum sociis nato q ue penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec q uam felis, ultricies nec, pellentes q ue eu, pretium q uis, sem. Nulla conse q uat massa q uis enim. Donec pede justo, fringilla vel, ali q uet nec, vulputate eget, arcu. In enim justo, rhoncus ut"
